NCT Number,Title,Status,Gender,Phases,Enrollment,Locations,URL
NCT00571389,Isolation and Culture of Immune Cells and Circulating Tumor Cells From Peripheral Blood and Leukapheresis Products,Recruiting,All,,1000,"Carolina BioOncology Institute, Huntersville, North Carolina, United States",https://ClinicalTrials.gov/show/NCT00571389
NCT01306084,Viral Infections in Healthy and Immunocompromised Hosts,Recruiting,All,,1000,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT01306084
NCT02735707,"Randomized, Embedded, Multifactorial Adaptive Platform Trial for Community- Acquired Pneumonia",Recruiting,All,Phase 4,7100,"University of Pittsburgh Medical Centre, Pittsburgh, Pennsylvania, United States|St Vincent's Hospital Sydney, Sydney, New South Wales, Australia|Royal Prince Alfred Hospital, Sydney, New South Wales, Australia|Royal North Shore Hospital, Sydney, New South Wales, Australia|Nepean Hospital, Sydney, New South Wales, Australia|Wollongong Hospital, Sydney, New South Wales, Australia|Royal Darwin Hospital,, Darwin, Northern Territory, Australia|Sunshine Coast University Hospital, Birtinya, Queensland, Australia|Princess Alexandra Hospital, Brisbane, Queensland, Australia|Logan Hospital, Brisbane, Queensland, Australia|Toowoomba Hospital, Toowoomba, Queensland, Australia|The Queen Elizabeth Hospital, Adelaide, South Australia, Australia|Bendigo Hospital, Bendigo, Victoria, Australia|University Hosptial Geelong, Geelong, Victoria, Australia|The Alfred Hospital, Melbourne, Victoria, Australia|Royal Melbourne Hospital, Melbourne, Victoria, Australia|St Vincent's Hospital Melbourne, Melbourne, Victoria, Australia|Royal Perth Hospital, Perth, Western Australia, Australia|Sir Charles Gairdner Hospital, Perth, Western Australia, Australia|St John of God Hospital Midland, Perth, Western Australia, Australia|Fiona Stanley Hospital, Perth, Western Australia, Australia|St John of God Hospital Murdoch, Perth, Western Australia, Australia|AZ Sint-Jan, Brugge, Belgium|CHU de Charleroi - Hôpital Civil Marie Curie, Charleroi, Belgium|Universitair Ziekenhuis Antwerp, Edegem, Belgium|Universitair Ziekenhuis Gent, Gent, Belgium|St. Joseph's Healthcare Hamilton, Hamilton, Canada|Centre Hospitalier de l'Université de Sherbrooke, Sherbrooke, Canada|St. Michael's Hospital Unity Health Toronto, Toronto, Canada|General County Hospital Požega, Požega, Croatia|University Hospital Centre Zagreb, Zagreb, Croatia|University Hospital for Infectious Diseases, Zagreb, Croatia|Charité - Universitätsmedizin Berlin - Infektiologie und Pneumologie, Berlin, Germany|Charité - Universitätsmedizin Berlin - Nephrologie, Berlin, Germany|Vivantes Klinikum Neukölln, Berlin, Germany|Universitätsklinikum Köln, Cologne, Germany|Universitätsklinikum Frankfurt, Frankfurt, Germany|University Medical Center Hamburg-Eppendorf (UKE), Hamburg, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Universitätsklinikum Jena, Jena, Germany|Universitätsklinikum Leipzig, Leipzig, Germany|Universitäts Klinikum Tübingen, Tübingen, Germany|Universitätsklinikum Würzburg, Würzburg, Germany|Jósa András County Hospital, Nyíregyháza, Hungary|Csolnoky Ferenc Kórház - Veszprem County Hospital, Veszprém, Hungary|Almási Balogh Pál Kórház, Ózd, Hungary|Beaumont Hospital, Dublin, Ireland|St. Vincent's University Hospital, Dublin, Ireland|University Hospital Galway, Galway, Ireland|Meander Medisch Centrum, Amersfoort, Netherlands|Jeroen Bosch Ziekenhuis, Den Bosch, Netherlands|Martini Hospital Groningen, Groningen, Netherlands|University Medical Center Groningen, Groningen, Netherlands|Leiden University Medical Center, Leiden, Netherlands|Canisius Wilhelmina Ziekenhuis, Nijmegen, Netherlands|Radboud University Medical Center, Nijmegen, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands|North Shore Hospital, Auckland, New Zealand|CVICU, Auckland City Hospital, Auckland, New Zealand|DCCM, Auckland City Hospital, Auckland, New Zealand|Middlemore Hospital, Auckland, New Zealand|Christchurch Hospital, Christchurch, New Zealand|Waikato Hospital, Hamilton, New Zealand|Rotorua Hospital, Rotorua, New Zealand|Tauranga Hospital, Tauranga, New Zealand|Wellington Regional Hospital, Wellington, New Zealand|Whangarei Hospital, Whangarei, New Zealand|Centro Hospitalar do Medio Tejo, Abrantes, Portugal|Hospital Lusíadas Lisbon, Lisboa, Portugal|Clinical Hospital of Infectious and Tropical Diseases ""Dr. Victor Babes"", Bucharest, Romania|Institut Hospital del Mar d'Investigacions Mèdiques, Barcelona, Spain|Hospital Universitario Reina Sofia, Córdoba, Spain|Basingstoke and North Hampshire Hospital, Basingstoke, United Kingdom|Southmead Hospital, Bristol, United Kingdom|University Hospital Coventry, Coventry, United Kingdom|Darlington Memorial Hospital, Darlington, United Kingdom|University Hospital of North Durham, Durham, United Kingdom|Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom|Maidstone Hospital - Maidstone and Tunbridge Wells NHS Trust, Maidstone, United Kingdom|The James Cook University Hospital, Middlesbrough, United Kingdom|Milton Keynes University Hospital, Milton Keynes, United Kingdom|Northampton General Hospital, Northampton, United Kingdom|Queen's Medical Centre - Nottingham University Hospitals NHS Trust, Nottingham, United Kingdom|Poole Hospital NHS Foundation Trust, Poole, United Kingdom|Queen Alexandra Hospital - Portsmouth Hospitals NHS Trust, Portsmouth, United Kingdom|Royal Berkshire Hospital, Reading, United Kingdom|University Hospital of North Tees, Stockton-on-Tees, United Kingdom|Royal Cornwall Hospital, Truro, United Kingdom|Tunbridge Wells Hospital - Maidstone and Tunbridge Wells NHS Trust, Tunbridge Wells, United Kingdom|York Hospital, York, United Kingdom",https://ClinicalTrials.gov/show/NCT02735707
NCT03183570,"Detection of Integrin avb6 in IPF, PSC, and COVID19 Using PET/CT",Recruiting,All,Early Phase 1,30,"Stanford University, Stanford, California, United States",https://ClinicalTrials.gov/show/NCT03183570
NCT03256773,High Resolution Micro OCT Imaging,Recruiting,All,,60,"University of Alabama at Birmingham, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT03256773
NCT03305341,Proof-of-Concept Clinical Pharmacology Trial for COVID-19 Antigen Presentation Therapeutic Biologics,"Active, not recruiting",All,Early Phase 1,20,"Medicine Invention Design Incorporation (MIDI) - IORG0007849, North Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT03305341
NCT03348670,Discovery Stage (Proof-of-concept) COVID-19 Antigen Presentation Therapeutic Biologics (COVID-19--AP),"Active, not recruiting",All,Early Phase 1,20,"Medicine Invention Design, Inc. (MIDI) - c/o - MIDINC Clinical Investigator Working Site, North Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT03348670
NCT03376854,Pilot RCT of Therapeutic Hypothermia Plus Neuromuscular Blockade in COVID-19 Patients With ARDS,Recruiting,All,Phase 2,20,"University of Maryland Medical Center, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT03376854
NCT03452774,SYNERGY-AI: Artificial Intelligence Based Precision Oncology Clinical Trial Matching and Registry,Recruiting,All,,1500,"Massive Bio, Inc, New York, New York, United States",https://ClinicalTrials.gov/show/NCT03452774
NCT03474965,Study of Dose Confirmation and Safety of Crizanlizumab in Pediatric Sickle Cell Disease Patients,Recruiting,All,Phase 2,100,"University of Alabama 1600 7th ave, Birmingham, Alabama, United States|Phoenix Childrens Hospital CVAL489A2302, Phoenix, Arizona, United States|UC Davis Medical Center, Sacramento, California, United States|Children s National Hospital, Washington, District of Columbia, United States|University of Florida College of Medicine, Gainesville, Florida, United States|Joe DiMaggio Childrens Hospital, Hollywood, Florida, United States|Childrens Healthcare of Atlanta, Atlanta, Georgia, United States|Ann and Robert H Lurie Childrens Hospital of Chicago CTBM100C2407, Chicago, Illinois, United States|University of Chicago Hospital, Chicago, Illinois, United States|Childrens Hospital Boston, Boston, Massachusetts, United States|Institute for Pediatric Cancer and Blood Disorders, Hackensack, New Jersey, United States|UMDNJ, New Brunswick, New Jersey, United States|Children's Hospital at Montefiore, Bronx, New York, United States|Duke University Medical Center Oncology, Durham, North Carolina, United States|East Carolina University SC, Greenville, North Carolina, United States|Childrens Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|Medical University of South Carolina Medical Uni of South Carolina, Charleston, South Carolina, United States|St. Jude Children's Research Hosptial, Memphis, Tennessee, United States|Cook Childrens Medical Center Oncology, Fort Worth, Texas, United States|Novartis Investigative Site, Edegem, Antwerpen, Belgium|Novartis Investigative Site, Brussel, Belgium|Novartis Investigative Site, Laeken, Belgium|Novartis Investigative Site, Liege, Belgium|Novartis Investigative Site, Salvador, BA, Brazil|Novartis Investigative Site, Ribeirao Preto, SP, Brazil|Novartis Investigative Site, São Paulo, SP, Brazil|Novartis Investigative Site, Toronto, Ontario, Canada|Novartis Investigative Site, Montreal, Quebec, Canada|Novartis Investigative Site, Medellin, Antioquia, Colombia|Novartis Investigative Site, Cali, Valle Del Cauca, Colombia|Novartis Investigative Site, Monteria, Colombia|Novartis Investigative Site, Paris cedex 15, France|Novartis Investigative Site, Heidelberg, Baden Wuerttemberg, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Nagpur, Maharashtra, India|Novartis Investigative Site, New Delhi, India|Novartis Investigative Site, Vellore, India|Novartis Investigative Site, Modena, Italy|Novartis Investigative Site, Orbassano, Italy|Novartis Investigative Site, Padova, Italy|Novartis Investigative Site, Beirut, Lebanon|Novartis Investigative Site, Tripoli, Lebanon|Novartis Investigative Site, Muscat, Oman|Novartis Investigative Site, Esplugues de Llobregat, Barcelona, Spain|Novartis Investigative Site, Barcelona, Catalunya, Spain|Novartis Investigative Site, Valencia, Comunidad Valenciana, Spain|Novartis Investigative Site, Palma De Mallorca, Islas Baleares, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Aarau, Aargau, Switzerland|Novartis Investigative Site, Adana, Turkey|Novartis Investigative Site, Mersin, Turkey|Novartis Investigative Site, London, United Kingdom|Novartis Investigative Site, London, United Kingdom",https://ClinicalTrials.gov/show/NCT03474965
